date,upstream_nom,upstream_metric,upstream_value,mapped_entity_id,mapped_field,upstream_file,upstream_commit,snapshot_date,sitrep_id,import_status,notes
2026-05-27,DRC,national_cumulative_suspected_cases,906,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-28,DRC,national_cumulative_suspected_cases,349,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-29,DRC,national_cumulative_suspected_cases,349,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-30,DRC,national_cumulative_suspected_cases,321,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-31,DRC,national_cumulative_suspected_cases,220,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-01,DRC,national_cumulative_suspected_cases,289,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-02,DRC,national_cumulative_suspected_cases,206,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-04,DRC,national_cumulative_suspected_cases,153,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-05,DRC,national_cumulative_suspected_cases,119,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-06,DRC,national_cumulative_suspected_cases,117,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-07,DRC,national_cumulative_suspected_cases,94,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-08,DRC,national_cumulative_suspected_cases,138,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-09,DRC,national_cumulative_suspected_cases,119,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-10,DRC,national_cumulative_suspected_cases,119,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-11,DRC,national_cumulative_suspected_cases,168,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-13,DRC,national_cumulative_suspected_cases,136,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-14,DRC,national_cumulative_suspected_cases,165,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-06-15,DRC,national_cumulative_suspected_cases,235,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-14,DRC,national_cumulative_confirmed_deaths,4,drc_total,confirmed_deaths,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_deaths__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-17,DRC,national_cumulative_confirmed_deaths,4,drc_total,confirmed_deaths,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_deaths__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-18,DRC,national_cumulative_confirmed_deaths,4,drc_total,confirmed_deaths,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_deaths__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-19,DRC,national_cumulative_confirmed_deaths,4,drc_total,confirmed_deaths,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_deaths__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-20,DRC,national_cumulative_confirmed_deaths,6,drc_total,confirmed_deaths,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_deaths__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-21,DRC,national_cumulative_confirmed_deaths,9,drc_total,confirmed_deaths,data/insp_sitrep/processed/insp_sitrep__national_cumulative_confirmed_deaths__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
